param,value
0.34,-1
0.3401,-1
0.3402,-1
0.34030000000000005,-1
0.34040000000000004,-1
0.3405,-1
0.3406,-1
0.3407,-1
0.34080000000000005,-1
0.34090000000000004,-1
0.341,-1
0.3411,-1
0.3412,-1
0.34130000000000005,-1
0.34140000000000004,-1
0.3415,-1
0.3416,-1
0.3417,-1
0.34180000000000005,-1
0.34190000000000004,-1
0.342,-1
0.3421,-1
0.3422,-1
0.3423,-1
0.34240000000000004,-1
0.3425,-1
0.3426,-1
0.3427,-1
0.3428,-1
0.34290000000000004,-1
0.343,-1
0.3431,-1
0.3432,-1
0.3433,-1
0.34340000000000004,-1
0.3435,-1
0.3436,-1
0.3437,-1
0.3438,-1
0.34390000000000004,-1
0.34400000000000003,-1
0.3441,-1
0.3442,-1
0.3443,-1
0.34440000000000004,-1
0.34450000000000003,-1
0.3446,-1
0.3447,-1
0.3448,-1
0.34490000000000004,-1
0.34500000000000003,-1
0.3451,-1
0.3452,-1
0.3453,-1
0.34540000000000004,-1
0.34550000000000003,-1
0.3456,-1
0.3457,-1
0.3458,-1
0.34590000000000004,-1
0.34600000000000003,-1
0.3461,-1
0.3462,-1
0.3463,-1
0.3464,-1
0.34650000000000003,-1
0.3466,-1
0.3467,-1
0.3468,-1
0.3469,-1
0.34700000000000003,-1
0.3471,-1
0.3472,-1
0.3473,-1
0.3474,-1
0.34750000000000003,-1
0.3476,-1
0.3477,-1
0.3478,-1
0.3479,-1
0.34800000000000003,-1
0.3481,-1
0.3482,-1
0.3483,-1
0.3484,-1
0.34850000000000003,-1
0.3486,-1
0.3487,-1
0.3488,-1
0.3489,-1
0.34900000000000003,-1
0.3491,-1
0.3492,-1
0.3493,-1
0.3494,-1
0.34950000000000003,-1
0.3496,-1
0.3497,-1
0.3498,-1
0.3499,-1
0.35,-1
0.3501,-1
0.3502,-1
0.3503,-1
0.3504,-1
0.3505,-1
0.3506,-1
0.3507,-1
0.3508,-1
0.3509,-1
0.351,-1
0.3511,-1
0.3512,-1
0.3513,-1
0.3514,-1
0.3515,-1
0.3516,-1
0.3517,-1
0.3518,-1
0.3519,-1
0.352,-1
0.3521,-1
0.3522,-1
0.3523,-1
0.3524,-1
0.3525,-1
0.3526,-1
0.3527,-1
0.3528,-1
0.3529,-1
0.353,-1
0.3531,-1
0.3532,-1
0.3533,-1
0.3534,-1
0.3535,-1
0.3536,-1
0.3537,-1
0.3538,-1
0.3539,-1
0.354,-1
0.35409999999999997,-1
0.3542,-1
0.3543,-1
0.3544,-1
0.3545,-1
0.35459999999999997,-1
0.3547,-1
0.3548,-1
0.3549,-1
0.355,-1
0.35509999999999997,-1
0.3552,-1
0.3553,-1
0.3554,-1
0.3555,-1
0.35559999999999997,-1
0.3557,-1
0.3558,-1
0.3559,-1
0.356,-1
0.35609999999999997,-1
0.3562,-1
0.3563,-1
0.3564,-1
0.3565,-1
0.3566,-1
0.3567,-1
0.3568,-1
0.3569,-1
0.357,-1
0.3571,-1
0.3572,-1
0.3573,-1
0.3574,-1
0.3575,-1
0.3576,-1
0.3577,-1
0.3578,-1
0.3579,-1
0.358,-1
0.3581,-1
0.35819999999999996,-1
0.3583,-1
0.3584,-1
0.3585,-1
0.3586,-1
0.3587,-1
0.3588,-1
0.3589,-1
0.359,-1
0.3591,-1
0.35919999999999996,-1
0.3593,-1
0.3594,-1
0.3595,-1
0.3596,-1
0.35969999999999996,-1
0.3598,-1
0.3599,-1
0.36,-1
